granularity;manufacturer;device;series;manufacturer_type;catalog_number;rated_current_A;poles_total;poles_protected;pole_configuration;characteristic;breaking_capacity_kA;residual_current_mA;rcd_type;voltage_type;heat_loss_W;heat_loss_basis;catalog_status;verification;notes;source_url
series;ABB;AFDD;S-ARC1;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD + MCB;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
series;CHINT;AFDD;NB3LE-AFD / AFDD family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD kombinované dle trhu;https://www.chintglobal.com/
series;Eaton;AFDD;AFDD+;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD + RCBO;https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/circuit-breakers/eaton-xpole-catalog-nl-lr.pdf
series;Hager;AFDD;AFD / ARC family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD kombinované přístroje dle trhu;https://hager.com/intl-en/catalogue/modular-devices
series;Legrand;AFDD;DX³ Stop Arc;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD kombinované přístroje;https://www.legrand.com/ecatalogue/
series;NOARK;AFDD;Ex9NLA;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD/ochranné kombinace dle varianty;https://noark-electric.eu/en/catalog/installation_devices
series;OEZ;AFDD;ARC;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD spoušť/modul;https://www.oez.cz/files/editor_source/Dokumenty/Katalogy/Minia/OEZ-Katalog-Minia-CZ.pdf
series;OEZ;AFDD;LMA;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD + nadproudová ochrana;https://www.oez.cz/files/editor_source/Dokumenty/Katalogy/Minia/OEZ-Katalog-Minia-CZ.pdf
series;Schneider Electric;AFDD;Acti9 iARC;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD;https://www.se.com/be/en/download/document/Acti9_A9XPH212_CAT/
series;Siemens;AFDD;5SV6;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;AFDD/MCB;https://cache.industry.siemens.com/dl/files/639/109750639/att_1314886/v1/04_ResidualCurrentProtectiveDevices_LV10_2025_EN_202502101816178705.pdf
series;Siemens;AFDD;5SV6 COM;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;komunikační AFDD/MCB;https://cache.industry.siemens.com/dl/files/639/109750639/att_1314886/v1/04_ResidualCurrentProtectiveDevices_LV10_2025_EN_202502101816178705.pdf
series;ETI;Bzučák;EVE-ETIREL;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;bzučáky;https://www.eti.si/produkti-storitve/groups/katalog
series;Legrand;Bzučák;modular buzzers;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;DIN buzzers;https://www.legrand.com/ecatalogue/
series;Legrand;Dálkový pohon;DX³ motorized control;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;remote/motorized operation;https://www.legrand.com/ecatalogue/
series;Siemens;Dálkový pohon;5ST30;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;remote control actuator;https://cache.industry.siemens.com/dl/files/639/109750639/att_1314886/v1/04_ResidualCurrentProtectiveDevices_LV10_2025_EN_202502101816178705.pdf
